Protein IDs,Symbols,log2FC,adj.pvalue
Q9P126,CLEC1B,-4.80614893171469,2.057e-37
P09382;F8WEI7,LGALS1,-2.065877096524,9.92596e-8
Q16610;C8CHS3;B7ZAS5,ECM1,-1.8410006618706,4.17446e-5
Q86TG7;B4DSP0;D6W5Q9,PEG10,-2.05820628068636,1.11367e-7
O95833;Q6FGP1;Q5SQ17,CLIC3,-1.57603874541352,1.45804e-5
B2RCC2;Q9Y2T7;Q59HE1;I3L2D6,YBX2,-2.83324130251881,1.7072e-9
B4DUT8;Q6FHC3;Q6FHE4;Q99439;B4DDF4;Q53GK7;B4DN57;B4DHU5;K7ES69;H3BVI6;H3BQH0,CNN2,-0.69348026828097,0.0814675
O00499;Q8WWH9;B7Z6Y2;B7Z2Z2;Q9BTH3,BIN1,-1.08442547998413,0.0327722
B2R6T2;Q9Y6Q1;B4DTS3;F5GWQ6,CAPN6,-1.23706143700304,0.0129028
P61073,CXCR4,0.73039667221395,0.151772
Q9HBG4;Q96N91,ATP6V0A4,-2.05992541611922,2.08845e-6
A8K693;O15229;Q9BS61;H0Y320,KMO,-1.50318158697746,0.000685868
A8MTF8;P58499;B7Z7I9,FAM3B,-1.70968338369244,8.37974e-5
A8K4D5;A8K7T0;Q16719;Q53F63;Q53SX6;Q53SY0;B8ZZA3,KYNU,-2.27662496841843,2.96348e-7
P22223;B4DLF0;J3KTE9;J3QR60,CDH3,-1.00925345792038,0.020862
Q9UGT4,SUSD2,-1.22709632913706,0.00698401
Q6UWW8;H3BUA3;Q8N7Y3,CES3,-0.9046399046523,0.0634721
Q9NZJ0;B4E0E6;F5GZ90;B4DSA7,DTL,-1.29318267247292,0.0214075
Q53EU6,AGPAT9,-0.83737999674022,0.0926365
P31947,SFN,-2.14010411061764,3.647e-9
Q08380;B4DVE1;B4DDG4;B3KP88;B4DI70;B4DWA8;K7EP36;K7EKQ5;K7ESM3;K7EJD3;K7ERZ6;K7EJY8;K7EN99;K7ES75;K7EQT9,LGALS3BP,-1.95279346976421,5.15633e-7
Q9C0C4;Q6P5A5;Q53RE7;Q9NX92;Q71RG3;Q8NBN9;C9JV89;C9J4M7,SEMA4C,-1.9957329905811,6.88532e-6
P25929;B4DKL9;Q59G72;B4DPD0;D6REY0,NPY1R,-1.46024915298622,0.000370359
Q14114;D3DQ39;B3KU40;E9PP15;H0YCA4,LRP8,0.94964564060811,0.10871
Q8TAB3;E9PAM6;B3KU71,PCDH19,-1.05323880240112,0.0377449
Q9BYK8;A7E2C9;Q4VXQ0,HELZ2,-0.66975941045398,0.184723
F5H025;A8K139;P32004;F5H1H0;Q7Z3Z9;Q86SE4;H0Y5C3;H3BLW5;Q7Z2I3,L1CAM,-1.36044221430428,0.00361747
O60779;Q5TIE1;Q59FC0,SLC19A2,-1.68432026899549,0.00121389
P42575;D3DXD8;D3DXD9;B4E0I5;D3DXE0;C9JRR9;B4E085,CASP2,-1.22682303105127,0.00488666
P25106,ACKR3,-1.78950460790648,3.81901e-5
Q96MC6;Q32Q64,HIAT1,-0.65749104974071,0.176516
P31431;M1VKI3;M1VE83;B4E1S6;M1VRM8,SDC4,-1.44724316857582,7.15132e-5
Q9H3S4;F5GZG6;F8VRJ6;F8WCM7;Q6ZQX6,TPK1,-1.16172666326039,0.0191064
P15313;C9JL73;B4DWH7;Q71UA2;C9J5E3;C9JNS9;C9JZ02;C9JTN0,ATP6V1B1,-1.19537756640119,0.00865692
Q14566;Q4ZG57;B4DRF6;B4E0N7;Q53T61,MCM6,-2.00279710681482,3.64413e-8
Q9GZN4;I3L116,PRSS22,-1.00417037394787,0.0644556
Q2QGD7,ZXDC,-1.22463850817449,0.0282715
P16144;B7ZLD8;Q0VF97;B7ZLD5;Q59H46;Q2VP98;B4E3N0;J3QQL2;J3KSH9,ITGB4,-1.2726325974979,0.00349438
